MsgAcTrackState,m_callsign,,,m_timeOfApplicability,Lat,m_horizontalPosition1,Long,m_horizontalPosition2,Alt,m_Altitude,Vel_N,m_horizontalVelocity1,Vel_E,m_horizontalVelocity2,VertSpd,m_verticalSpeed,
" ""traffic"": { """,N4GC," "": ["," { ""time"":",1540243094," , ""p1"":",33.75543899," , ""p2"":",-112.8007277," , ""p3"":",4962.394166," , ""v1"":",110.1495597," , ""v2"":",19.70643203," , ""v3"":",0," },"
,,," { ""time"":",1540243095," , ""p1"":",33.755478," , ""p2"":",-112.8006805," , ""p3"":",4961.01148," , ""v1"":",7.966190875," , ""v2"":",23.04163053," , ""v3"":",-117.5170043," },"
,,," { ""time"":",1540243096," , ""p1"":",33.75548275," , ""p2"":",-112.8006606," , ""p3"":",4959.766213," , ""v1"":",8.778723955," , ""v2"":",17.43867401," , ""v3"":",-107.8289309," },"
,,," { ""time"":",1540243097," , ""p1"":",33.75561619," , ""p2"":",-112.8006011," , ""p3"":",4955.952721," , ""v1"":",24.06034986," , ""v2"":",21.27019136," , ""v3"":",-211.1498854," },"
,,," { ""time"":",1540243098," , ""p1"":",33.75592792," , ""p2"":",-112.8006919," , ""p3"":",4949.416022," , ""v1"":",60.35894755," , ""v2"":",33.37180781," , ""v3"":",-466.1138383," },"
,,," { ""time"":",1540243099," , ""p1"":",33.75622586," , ""p2"":",-112.8005261," , ""p3"":",4940.7817," , ""v1"":",75.70675523," , ""v2"":",42.04342558," , ""v3"":",-569.3452873," },"
,,," { ""time"":",1540243100," , ""p1"":",33.75663436," , ""p2"":",-112.8003075," , ""p3"":",4930.469575," , ""v1"":",89.72840736," , ""v2"":",52.08231397," , ""v3"":",-667.5420791," },"
,,," { ""time"":",1540243101," , ""p1"":",33.75705781," , ""p2"":",-112.8000518," , ""p3"":",4918.561417," , ""v1"":",103.4237652," , ""v2"":",59.16456786," , ""v3"":",-760.9497569," },"
,,," { ""time"":",1540243102," , ""p1"":",33.75759886," , ""p2"":",-112.7997477," , ""p3"":",4905.135116," , ""v1"":",116.5477603," , ""v2"":",65.34194254," , ""v3"":",-849.8018885," },"
,,," { ""time"":",1540243103," , ""p1"":",33.75814516," , ""p2"":",-112.7994107," , ""p3"":",4890.264857," , ""v1"":",128.9636153," , ""v2"":",71.99845398," , ""v3"":",-934.3206504," },"
,,," { ""time"":",1540243104," , ""p1"":",33.75879281," , ""p2"":",-112.7990293," , ""p3"":",4874.021292," , ""v1"":",140.6897526," , ""v2"":",77.16673107," , ""v3"":",-1014.717384," },"
,,," { ""time"":",1540243105," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243106," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243107," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243108," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243108," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243109," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122," },"
,,," { ""time"":",1540243110," , ""p1"":",33.75945368," , ""p2"":",-112.7986256," , ""p3"":",4856.471701," , ""v1"":",151.0807429," , ""v2"":",86.11036075," , ""v3"":",-1091.193122,} ] } } }
